Product Name,Specification,Price
"ASUS Zenbook 14 UM3402YAR-KP399X 14"" WQXGA AMD Ryzen 7 7730U - 16GB RAM - 512GB SSD - Win 11 Pro",- 1yr warranty - AX WiFi 6E + BT5.3 - Webcam - USB-C (with PD & DP) - HDMI2.1 TMDS - MicroSD - Backlit Keyboard,"1,736.99"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 32GB RAM - 1TB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,288.50"
Microsoft Surface Pro (11th Edition) Copilot+ PC - Platinum,"Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - 13"" PixelSense Flow LCD Display - Win 11 Home","2,428.00"
"HP Chromebook 11 G10 11.6"" HD",Intel N100 - 4GB RAM - 32GB eMMC - ChromeOS - 1Y Warranty - AX WiFi 6E + BT5.3 - Webcam - USB C (PD & DP),402.5
"ASUS ROG Zephyrus G14 GA403UI RTX 4070 Gaming Laptop 14"" 3K 120Hz OLED",AMD Ryzen 9 8945HS - 32GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - Backlit Keyboard - 1Y Warranty,"4,718.90"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5-125U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,605.40"
"ASUS ROG Zephyrus G16 GU605MI RTX 4070 Gaming Laptop 16"" WQXGA 240Hz",Intel Core Ultra 7-155H - 32GB RAM - 1TB SSD - Win 11 Home - 2Y Warranty,"4,555.01"
Microsoft Surface Pro (11th Edition) Copilot+ PC - Platinum,"Snapdragon X Plus (10 Core) - 16GB RAM - 256GB SSD - 13"" PixelSense Flow LCD Display - Win 11 Home","1,874.99"
"ASUS Vivobook Go 15 L510KA 15.6"" FHD",Intel Pentium Silver N6000 - 8GB RAM - 256GB SSD - Win 11 Home S Mode - AC WiFi 5 + BT5.1 - Webcam - HDMI1.4,667
"ASUS TUF Gaming A15 TUF507NUR 15.6"" FHD 144Hz RTX 4050 Gaming Laptop",AMD Ryzen 7 7435HS - 16GB RAM - 512GB SSD - Win 11 Home - AX WiFi 6 + BT5.3 - Webcam - USB-C (with DP) - HDMI2.1 TMDS - RJ45 - 1Y Warranty,"1,997.39"
